wrd1;wrd2;speaker;sentID;fullSent;condition;newWord1;newWord2
de;astronauten;nat;315;NASA heeft vorige week de astronauten herdacht die zijn omgekomen tijdens ruimtemissies in de afgelopen 30 jaar.;control;ruimtemissies;jaar
de;beker;nat;316;De amateurs uit Hardenberg kunnen niet voor een stunt zorgen in de kwartfinale van de beker;control;amateurs;stunt
de;verdachte;nat;317;De verdachte krijgt 3 jaar celstraf omdat hij een raketwerper en andere wapens thuis had liggen;control;celstraf;raketwerper
de;regio;nat;318;Uit onderzoek blijkt dat windmolens langs de kust geen negatieve invloed hebben op toerisme in de regio.;control;onderzoek;invloed
de;mogelijkheden;nat;319;Het kabinet wil kijken naar de mogelijkheden om de ov-chipkaart ook voor toeristen in te voeren.;control;kabinet;toeristen
de;geschiedenis;nat;320;De belangrijkste uitvinding in de geschiedenis van de mensheid is het schrift.;control;uitvinding;mensheid
dit;programma;nat;321;Als je meedoet aan dit programma moet je wel elke week op tijd aanwezig zijn bij alle lessen.;control;week;lessen
de;organisatie;nat;322;De nieuwe directeur wil graag veel veranderen in de organisatie om de winstmarge te vergroten.;control;directeur;winstmarge
een;bericht;nat;323;Er staat elke dag wel weer een bericht in de krant over de uitbraak van het zika-virus in Zuid-Amerika.;control;krant;uitbraak
de;mijnwerkers;nat;324;Hulpverleners in Colombia hebben dagenlang gewerkt om de mijnwerkers die opgesloten zaten in de ingestorte mijn te redden.;control;hulpverleners;mijn
het;aantal;nat;325;Het aantal leerplichtige kinderen dat voor korte of langere tijd niet naar school ging, is vorig schooljaar afgenomen.;control;kinderen;school
de;weide;nat;326;Melkveehouders die hun koeien in de weide brengen voordat het eerste gras gemaaid wordt, kunnen dit jaar maximaal 750 euro subsidie krijgen.;control;koeien;gras
tweehonderd;honden;nat;327;Een Zuid-Koreaanse vrouw vangt al 26 jaar ongeveer tweehonderd honden op in haar eigen huis.;control;vrouw;huis
de;computer;nat;328;Het is goed om je documenten op te slaan voor je gaat lunchen, want als de computer uitvalt, wil je zeker zijn dat je niks kwijtraakt.;control;documenten;kwijtraakt
het;vliegveld;nat;329;Als je online incheckt en je instapkaart thuis print, hoef je op het vliegveld niet zo lang meer te wachten.;control;instapkaart;print
een;verzorgster;nonNat;345;Op tv zie je standaard een verzorgster een bejaarde mevrouw een steunkous aantrekken als het over de thuiszorg gaat.;control;mevrouw;thuiszorg
het;internet;nonNat;346;Bart Schermer legt uit of je recht op privacy ook op het internet geldt of dat je dikke vette pech hebt...;control;recht;pech
hun;werk;nonNat;347;Een nieuwe maatstaf voor openheid geeft auteurs meer zicht op fatsoenlijke afhandeling van hun werk door tijdschriften.;control;maatstaf;tijdschriften
van;altru‹sme;nonNat;348;Er zijn steeds meer aanwijzingen dat je van altru‹sme gezonder, stressbestendiger en gelukkiger wordt.;control;aanwijzingen;gelukkiger
de;onderzoekers;nonNat;349;De onderzoekers adviseren om vooral de horeca te controleren op naleving van de leeftijdsgrens voor alcohol.;control;horeca;leeftijdsgrens
de;mazelen;nonNat;350;Onze oma's waren blij als hun kinderen de mazelen, bof, rode hond en waterpokken kregen.;control;oma's;kinderen
iedere;asielzoeker;nonNat;351;Voor iedere asielzoeker die dit jaar in Nederland aankwam, heeft zich ten minste ‚‚n vrijwilliger aangemeld.;control;vrijwilliger;Nederland
Argentijns;voetbalelftal;nonNat;352;Lionel Messi zal niet met het Argentijns voetbalelftal meedoen aan de Olympische Spelen in Rio de Janeiro;control;Olympische Spelen;Rio de Janeiro
te;vinden;nonNat;353;In Dubai is het veel makkelijker om een baan te vinden dan in veel arme landen in Zuid-Azi‰.;control;baan;landen
de;zandbak;nonNat;354;Tim en Max spelen het liefst samen in de zandbak als het buiten mooi weer is.;control;buiten;weer
mijn;dochter;nonNat;355;Mijn zoon woont al drie jaar in het buitenland, maar mijn dochter studeert en woont nog thuis.;control;zoon;buitenland
uit;Duitsland;nonNat;356;Felice komt oorspronkelijk uit Duitsland, maar wilde in Nederland graag psychologie gaan studeren.;control;Nederland;psychologie
ons;team;nonNat;357;Dit jaar verliezen we alle wedstrijden in de competitie, omdat het niveau veel te hoog is voor ons team.;control;jaar;wedstrijden
nieuwe;huizen;nonNat;358;In Zoetermeer zijn de afgelopen jaren duizenden nieuwe huizen gebouwd om de woningnood tegen te gaan.;control;jaren;woningnood
de;lunch;nonNat;359;In de apenheul kunnen de apen zomaar je broodje uit je hand halen als je niet goed uitkijkt bij de lunch.;control;apen;broodje
de;toetsweek;nonNat;360;Voor wiskunde had Peter een onvoldoende gehaald tijdens de toetsweek, maar voor Engels had hij een 9.;control;onvoldoende;Engels
het;vliegtuig;nonNat;300;Morgen ga ik met het vliegtuig naar Londen voor een conferentie.;control;Londen;conferentie
zijn;werk;nonNat;301;Op woensdag gaat hij altijd met de fiets naar zijn werk, omdat hij dan pas om 10 uur hoeft te beginnen.;control;woensdag;fiets
alle;toetsen;nonNat;302;Veel leraren zullen blij zijn als het straks eindelijk vakantie is, want dan kunnen ze rustig alle toetsen nakijken.;control;leraren;vakantie
veel;studenten;nonNat;303;Op de universiteit lopen veel studenten rond die nog niet precies weten wat ze na hun studie willen doen.;control;universiteit;studie
geschiedenis;;nonNat;304;Piet vond de geschiedenis van Afrika een van de leukste vakken die hij tijdens zijn studie heeft gevolgd.;control;vakken;studie
het;ontbijt;nonNat;305;Voor het ontbijt eet mijn moeder altijd een boterham met kaas en een beschuit met hagelslag.;control;boterham;beschuit
de;kast;nonNat;306;De boeken die in de kast staan heeft Marie allemaal al eens gelezen, die op haar nachtkastje nog niet.;control;boeken;nachtkastje
het;raam;nonNat;307;Gisteren is een collega van Jan de sloot in gereden, maar gelukkig kon hij net op tijd uit het raam klimmen.;control;collega;sloot
de;receptioniste;nonNat;308;Als de telefoon gaat, hoef je niet op te nemen, want dat doet de receptioniste altijd in dit bedrijf.;control;telefoon;bedrijf
een;smoesje;nonNat;309;"Kinderen vinden het nooit leuk als je zegt dat ze naar bed moeten; ze verzinnen altijd een smoesje om langer op te mogen blijven.";control;kinderen;bed
andere;pretparken;nonNat;310;"De Efteling was vroeger het enige grote attractiepark in Nederland; nu zijn er ook veel andere pretparken.";control;Efteling;attractiepark
het;zuiden;nonNat;311;"In februari vieren mensen in het zuiden van het land Carnaval; in het noorden gaan veel mensen in die tijd op skivakantie.";control;mensen;skivakantie
in;Europa;nonNat;312;Zwitserland is tegenwoordig een van de duurste landen in Europa om op vakantie te gaan, omdat ze erg rijk zijn.;control;landen;vakantie
grote;oceaan;nonNat;313;Japan gaat een strategische uitkijkpost bouwen op een atol in de Grote Oceaan, om China beter in de gaten te houden.;control;uitkijkpost;atol
voor;geschiedenis;nonNat;314;"De leerlingen uit 4 havo vonden dat ze veel teveel huiswerk hadden gekregen voor Geschiedenis; ze hadden geen tijd meer voor andere vakken.";control;leerlingen;huiswerk
de;afgelopen;nonNat;315;NASA heeft vorige week de astronauten herdacht die zijn omgekomen tijdens ruimtemissies in de afgelopen 30 jaar.;control;astronauten;ruimtemissies
de;amateurs;nonNat;316;De amateurs uit Hardenberg kunnen niet voor een stunt zorgen in de kwartfinale van de beker;control;stunt;beker
drie;jaar;nonNat;317;De verdachte krijgt 3 jaar celstraf omdat hij een raketwerper en andere wapens thuis had liggen;control;verdachte;raketwerper
de;regio;nonNat;318;Uit onderzoek blijkt dat windmolens langs de kust geen negatieve invloed hebben op toerisme in de regio.;control;onderzoek;windmolens
de;mogelijkheden;nonNat;319;Het kabinet wil kijken naar de mogelijkheden om de ov-chipkaart ook voor toeristen in te voeren.;control;kabinet;toeristen
de;mensheid;nonNat;320;De belangrijkste uitvinding in de geschiedenis van de mensheid is het schrift.;control;uitvinding;schrift
alle;lessen;nonNat;321;Als je meedoet aan dit programma moet je wel elke week op tijd aanwezig zijn bij alle lessen.;control;programma;week
nieuwe;directeur;nonNat;322;De nieuwe directeur wil graag veel veranderen in de organisatie om de winstmarge te vergroten.;control;organisatie;winstmarge
de;krant;nonNat;323;Er staat elke dag wel weer een bericht in de krant over de uitbraak van het zika-virus in Zuid-Amerika.;control;bericht;uitbraak
de;mijnwerkers;nonNat;324;Hulpverleners in Colombia hebben dagenlang gewerkt om de mijnwerkers die opgesloten zaten in de ingestorte mijn te redden.;control;hulpverleners;mijn
leerplichtige;kinderen;nonNat;325;Het aantal leerplichtige kinderen dat voor korte of langere tijd niet naar school ging, is vorig schooljaar afgenomen.;control;school;schooljaar
het;eerste;nonNat;326;Melkveehouders die hun koeien in de weide brengen voordat het eerste gras gemaaid wordt, kunnen dit jaar maximaal 750 euro subsidie krijgen.;control;melkveehouders;gras
zesentwintig;jaar;nonNat;327;Een Zuid-Koreaanse vrouw vangt al 26 jaar ongeveer tweehonderd honden op in haar eigen huis.;control;honden;huis
je;documenten;nonNat;328;Het is goed om je documenten op te slaan voor je gaat lunchen, want als de computer uitvalt, wil je zeker zijn dat je niks kwijtraakt.;control;computer;kwijtraakt
het;vliegveld;nonNat;329;Als je online incheckt en je instapkaart thuis print, hoef je op het vliegveld niet zo lang meer te wachten.;control;instapkaart;print
een;iPad;nonNat;330;Het meest favoriete speelgoed van kinderen in de jaren '90 was lego, maar tegenwoordig spelen ze liever met een iPad.;control;speelgoed;lego
