time	ROI central	ROI central_smaller	
21.4844	0.1123	0.1248	Non-native Unexpected
22.4609	0.1061	0.1188	Non-native Unexpected
23.4375	0.0999	0.1129	Non-native Unexpected
24.4141	0.0937	0.1069	Non-native Unexpected
25.3906	0.0875	0.1009	Non-native Unexpected
26.3672	0.0813	0.0949	Non-native Unexpected
27.3438	0.0751	0.089	Non-native Unexpected
28.3203	0.0691	0.0831	Non-native Unexpected
29.2969	0.0631	0.0773	Non-native Unexpected
30.2734	0.0572	0.0717	Non-native Unexpected
31.25	0.0515	0.0661	Non-native Unexpected
32.2266	0.0459	0.0608	Non-native Unexpected
33.2031	0.0406	0.0556	Non-native Unexpected
34.1797	0.0354	0.0506	Non-native Unexpected
35.1562	0.0306	0.0459	Non-native Unexpected
36.1328	0.0259	0.0413	Non-native Unexpected
37.1094	0.0216	0.0371	Non-native Unexpected
38.0859	0.0176	0.0331	Non-native Unexpected
39.0625	0.0139	0.0295	Non-native Unexpected
40.0391	0.0105	0.0261	Non-native Unexpected
41.0156	0.0075	0.0231	Non-native Unexpected
41.9922	0.0049	0.0205	Non-native Unexpected
42.9688	0.0027	0.0182	Non-native Unexpected
43.9453	0.0009	0.0163	Non-native Unexpected
44.9219	-0.0004	0.0148	Non-native Unexpected
45.8984	-0.0013	0.0137	Non-native Unexpected
46.875	-0.0018	0.013	Non-native Unexpected
47.8516	-0.0018	0.0127	Non-native Unexpected
48.8281	-0.0014	0.0129	Non-native Unexpected
49.8047	-0.0004	0.0135	Non-native Unexpected
50.7812	0.001	0.0146	Non-native Unexpected
51.7578	0.0028	0.016	Non-native Unexpected
52.7344	0.0052	0.018	Non-native Unexpected
53.7109	0.008	0.0203	Non-native Unexpected
54.6875	0.0113	0.0231	Non-native Unexpected
55.6641	0.015	0.0264	Non-native Unexpected
56.6406	0.0192	0.03	Non-native Unexpected
57.6172	0.0239	0.0341	Non-native Unexpected
58.5938	0.0289	0.0386	Non-native Unexpected
59.5703	0.0344	0.0435	Non-native Unexpected
60.5469	0.0404	0.0488	Non-native Unexpected
61.5234	0.0467	0.0545	Non-native Unexpected
62.5	0.0534	0.0606	Non-native Unexpected
63.4766	0.0604	0.067	Non-native Unexpected
64.4531	0.0678	0.0737	Non-native Unexpected
65.4297	0.0755	0.0808	Non-native Unexpected
66.4062	0.0835	0.0881	Non-native Unexpected
67.3828	0.0918	0.0957	Non-native Unexpected
68.3594	0.1004	0.1036	Non-native Unexpected
69.3359	0.1092	0.1118	Non-native Unexpected
70.3125	0.1182	0.1201	Non-native Unexpected
71.2891	0.1273	0.1287	Non-native Unexpected
72.2656	0.1367	0.1374	Non-native Unexpected
73.2422	0.1461	0.1463	Non-native Unexpected
74.2188	0.1557	0.1553	Non-native Unexpected
75.1953	0.1654	0.1644	Non-native Unexpected
76.1719	0.1751	0.1737	Non-native Unexpected
77.1484	0.1849	0.1829	Non-native Unexpected
78.125	0.1947	0.1923	Non-native Unexpected
