speaker,sentID,relatedness,filename,hasQuestion,Question,yesOrNo,part,totalLen,onsetDet,onsetNoun,offsetNoun,waitForDetOffset,waitForNounOffset,waitForEnd
nonNat,343,control,nonNat_343_control,0,,,experiment,5.262,3.678,3.938,4.267,0.26,0.329,0.995
nonNat,344,control,nonNat_344_control,0,,,experiment,3.692,2.309,2.766,3.06,0.457,0.294,0.632
Nat,347,control,Nat_347_control,0,,,experiment,6.178,4.523,4.728,5.021,0.205,0.293,1.157
Nat,348,control,Nat_348_control,0,,,experiment,5.731,1.789,1.966,2.715,0.177,0.749,3.016
Nat,349,control,Nat_349_control,0,,,experiment,5.919,4.139,4.256,5.075,0.117,0.819,0.844
Nat,350,control,Nat_350_control,0,,,experiment,5.783,2.055,2.177,2.833,0.122,0.656,2.95
Nat,351,control,Nat_351_control,0,,,experiment,5.939,4.255,4.522,5.137,0.267,0.615,0.802
Nat,352,control,Nat_352_control,0,,,experiment,6.305,1.895,2.537,3.281,0.642,0.744,3.024
Nat,353,control,Nat_353_control,0,,,experiment,4.808,2.997,3.262,3.543,0.265,0.281,1.265
Nat,354,control,Nat_354_control,0,,,experiment,4.3,2.123,2.246,2.807,0.123,0.561,1.493
Nat,355,control,Nat_355_control,0,,,experiment,4.651,2.541,2.771,3.082,0.23,0.311,1.569
Nat,356,control,Nat_356_control,0,,,experiment,5.435,1.728,1.92,2.521,0.192,0.601,2.914
Nat,357,control,Nat_357_control,0,,,experiment,5.317,1.859,2.028,2.803,0.169,0.775,2.514
Nat,358,control,Nat_358_control,0,,,experiment,5.264,2.539,2.797,3.124,0.258,0.327,2.14
Nat,359,control,Nat_359_control,0,,,experiment,5.536,4.976,5.071,5.5,0.095,0.429,0.036
Nat,360,control,Nat_360_control,0,,,experiment,5.507,2.667,2.836,3.408,0.169,0.572,2.099
nonNat,345,control,nonNat_345_control,0,,,experiment,6.954,1.288,1.401,2.096,0.113,0.695,4.858
nonNat,346,control,nonNat_346_control,0,,,experiment,5.536,2.606,2.743,3.133,0.137,0.39,2.403
nonNat,347,control,nonNat_347_control,0,,,experiment,5.824,4.568,4.702,4.964,0.134,0.262,0.86
nonNat,348,control,nonNat_348_control,0,,,experiment,5.731,1.777,2.02,2.715,0.243,0.695,3.016
nonNat,349,control,nonNat_349_control,0,,,experiment,6.469,0.065,0.152,0.77,0.087,0.618,5.699
nonNat,350,control,nonNat_350_control,0,,,experiment,5.407,2.267,2.367,2.93,0.1,0.563,2.477
nonNat,351,control,nonNat_351_control,0,,,experiment,5.252,0.246,0.6,1.445,0.354,0.845,3.807
nonNat,352,control,nonNat_352_control,0,,,experiment,5.796,1.455,1.959,3.109,0.504,1.15,2.687
nonNat,353,control,nonNat_353_control,0,,,experiment,4.397,1.92,2.031,2.405,0.111,0.374,1.992
nonNat,354,control,nonNat_354_control,0,,,experiment,3.677,1.658,1.771,2.252,0.113,0.481,1.425
nonNat,355,control,nonNat_355_control,0,,,experiment,4.376,2.227,2.444,2.699,0.217,0.255,1.677
nonNat,356,control,nonNat_356_control,0,,,experiment,4.958,1.149,1.344,1.979,0.195,0.635,2.979
nonNat,357,control,nonNat_357_control,0,,,experiment,5.044,4.438,4.704,4.986,0.266,0.282,0.058
nonNat,358,control,nonNat_358_control,0,,,experiment,5.016,2.391,2.636,2.978,0.245,0.342,2.038
nonNat,359,control,nonNat_359_control,0,,,experiment,5.456,4.874,5,5.402,0.126,0.402,0.054
nonNat,360,control,nonNat_360_control,0,,,experiment,4.996,2.965,3.153,3.656,0.188,0.503,1.34
Nat,315,control,Nat_315_control,0,,,experiment,6.144,1.344,1.479,2.069,0.135,0.59,4.075
Nat,316,control,Nat_316_control,0,,,experiment,4.12,3.541,3.686,4.114,0.145,0.428,0.006
Nat,317,control,Nat_317_control,0,,,experiment,5.224,0.01,0.071,0.614,0.061,0.543,4.61
Nat,318,control,Nat_318_control,0,,,experiment,4.896,4.173,4.326,4.884,0.153,0.558,0.012
Nat,319,control,Nat_319_control,0,,,experiment,4.486,1.188,1.291,1.984,0.103,0.693,2.502
Nat,320,control,Nat_320_control,0,,,experiment,3.843,1.427,1.527,2.055,0.1,0.528,1.788
Nat,321,control,Nat_321_control,0,,,experiment,4.136,0.587,0.778,1.245,0.191,0.467,2.891
Nat,322,control,Nat_322_control,0,,,experiment,4.224,1.9,2.007,2.661,0.107,0.654,1.563
Nat,323,control,Nat_323_control,0,,,experiment,4.48,1.159,1.305,1.595,0.146,0.29,2.885
Nat,324,control,Nat_324_control,0,,,experiment,6.08,2.747,2.823,3.468,0.076,0.645,2.612
Nat,325,control,Nat_325_control,0,,,experiment,5.752,0.005,0.162,0.503,0.157,0.341,5.249
Nat,326,control,Nat_326_control,0,,,experiment,7.568,1.606,1.684,1.987,0.078,0.303,5.581
Nat,327,control,Nat_327_control,0,,,experiment,5.216,3,3.529,3.834,0.529,0.305,1.382
Nat,328,control,Nat_328_control,0,,,experiment,5.552,2.806,2.934,3.277,0.128,0.343,2.275
Nat,329,control,Nat_329_control,0,,,experiment,5.104,3.353,3.487,3.979,0.134,0.492,1.125
nonNat,315,control,nonNat_315_control,0,,,experiment,7.156,5.784,5.953,6.387,0.169,0.434,0.769
nonNat,316,control,nonNat_316_control,0,,,experiment,5.225,0.039,0.179,0.846,0.14,0.667,4.379
nonNat,317,control,nonNat_317_control,0,,,experiment,6.239,1.468,1.624,1.844,0.156,0.22,4.395
nonNat,318,control,nonNat_318_control,0,,,experiment,5.781,5.107,5.228,5.745,0.121,0.517,0.036
nonNat,319,control,nonNat_319_control,0,,,experiment,5.121,1.409,1.491,2.325,0.082,0.834,2.796
nonNat,320,control,nonNat_320_control,0,,,experiment,3.936,2.501,2.612,3.214,0.111,0.602,0.722
nonNat,321,control,nonNat_321_control,0,,,experiment,5.353,4.761,4.915,5.281,0.154,0.366,0.072
nonNat,322,control,nonNat_322_control,0,,,experiment,5.475,0.235,0.447,1.049,0.212,0.602,4.426
nonNat,323,control,nonNat_323_control,0,,,experiment,5.256,1.839,1.993,2.282,0.154,0.289,2.974
nonNat,324,control,nonNat_324_control,0,,,experiment,7.085,3.102,3.21,4.076,0.108,0.866,3.009
nonNat,325,control,nonNat_325_control,0,,,experiment,6.732,0.553,1.357,1.775,0.804,0.418,4.957
nonNat,326,control,nonNat_326_control,0,,,experiment,8.482,3.098,3.456,3.764,0.358,0.308,4.718
nonNat,327,control,nonNat_327_control,0,,,experiment,5.966,1.842,2.532,2.759,0.69,0.227,3.207
nonNat,328,control,nonNat_328_control,0,,,experiment,6.824,0.608,0.719,1.142,0.111,0.423,5.682
nonNat,329,control,nonNat_329_control,0,,,experiment,5.743,3.595,3.704,4.323,0.109,0.619,1.42
