nonnatives\Gareth\nonNat_360_Gareth_control_part.TextGrid,de,toetsweek
nonnatives\Matthias\nonNat_300_Bobby_control_part.TextGrid,het,vliegtuig
nonnatives\Matthias\nonNat_301_Bobby_control_part.TextGrid,zijn,werk
nonnatives\Matthias\nonNat_302_Bobby_control_part.TextGrid,alle,toetsen
nonnatives\Matthias\nonNat_303_Bobby_control_part.TextGrid,veel,studenten
nonnatives\Matthias\nonNat_304_Bobby_control_part.TextGrid,geschiedenis,
nonnatives\Matthias\nonNat_305_Bobby_control_part.TextGrid,het,ontbijt
nonnatives\Matthias\nonNat_306_Bobby_control_part.TextGrid,de,kast
nonnatives\Matthias\nonNat_307_Bobby_control_part.TextGrid,het,raam
nonnatives\Matthias\nonNat_308_Bobby_control_part.TextGrid,de,receptioniste
nonnatives\Matthias\nonNat_309_Bobby_control_part.TextGrid,een,smoesje
nonnatives\Matthias\nonNat_310_Bobby_control_part.TextGrid,andere,pretparken
nonnatives\Matthias\nonNat_311_Bobby_control_part.TextGrid,het,zuiden
nonnatives\Matthias\nonNat_312_Bobby_control_part.TextGrid,in,Europa
nonnatives\Matthias\nonNat_313_Bobby_control_part.TextGrid,grote,oceaan
nonnatives\Matthias\nonNat_314_Bobby_control_part.TextGrid,voor,geschiedenis
nonnatives\Olga\nonNat_315_Victoria_control_part.TextGrid,de,afgelopen
nonnatives\Olga\nonNat_316_Victoria_control_part.TextGrid,de,amateurs
nonnatives\Olga\nonNat_317_Victoria_control_part.TextGrid,drie,jaar
nonnatives\Olga\nonNat_318_Victoria_control_part.TextGrid,de,regio
nonnatives\Olga\nonNat_319_Victoria_control_part.TextGrid,de,mogelijkheden
nonnatives\Olga\nonNat_320_Victoria_control_part.TextGrid,de,mensheid
nonnatives\Olga\nonNat_321_Victoria_control_part.TextGrid,alle,lessen
nonnatives\Olga\nonNat_322_Victoria_control_part.TextGrid,nieuwe,directeur
nonnatives\Olga\nonNat_323_Victoria_control_part.TextGrid,de,krant
nonnatives\Olga\nonNat_324_Victoria_control_part.TextGrid,de,mijnwerkers
nonnatives\Olga\nonNat_325_Victoria_control_part.TextGrid,leerplichtige,kinderen
nonnatives\Olga\nonNat_326_Victoria_control_part.TextGrid,het,eerste
nonnatives\Olga\nonNat_327_Victoria_control_part.TextGrid,zesentwintig,jaar
nonnatives\Olga\nonNat_328_Victoria_control_part.TextGrid,je,documenten
nonnatives\Olga\nonNat_329_Victoria_control_part.TextGrid,het,vliegveld
nonnatives\Viktorija\nonNat_330_Johanneke_control_part.TextGrid,een,iPad
nonnatives\Viktorija\nonNat_331_Johanneke_control_part.TextGrid,haar,oma
nonnatives\Viktorija\nonNat_332_Johanneke_control_part.TextGrid,het,rookverbod
nonnatives\Viktorija\nonNat_333_Johanneke_control_part.TextGrid,de,stembus
nonnatives\Viktorija\nonNat_334_Johanneke_control_part.TextGrid,de,deuren
nonnatives\Viktorija\nonNat_335_Johanneke_control_part.TextGrid,diverse,
nonnatives\Viktorija\nonNat_336_Johanneke_control_part.TextGrid,grote,aantallen
nonnatives\Viktorija\nonNat_337_Johanneke_control_part.TextGrid,hun,handen
nonnatives\Viktorija\nonNat_338_Johanneke_control_part.TextGrid,de,griep
nonnatives\Viktorija\nonNat_339_Johanneke_control_part.TextGrid,het,eten
nonnatives\Viktorija\nonNat_340_Johanneke_control_part.TextGrid,dunne,velletjes
nonnatives\Viktorija\nonNat_341_Johanneke_control_part.TextGrid,geen,Nederlands
nonnatives\Viktorija\nonNat_342_Johanneke_control_part.TextGrid,een,boek
nonnatives\Viktorija\nonNat_343_Johanneke_control_part.TextGrid,het,belang
nonnatives\Viktorija\nonNat_344_Johanneke_control_part.TextGrid,saaie,boeken
