       value	     chindex	     chlabel	        bini	     ERPset
       0.318	          49	          C2	           5	01_withDiff
       0.460	          56	         CP2	           5	01_withDiff
      -1.353	           4	          F1	           1	02_withDiff
       0.011	          11	         FC1	           1	02_withDiff
       0.694	          12	          C1	           1	02_withDiff
       0.484	          19	         CP1	           1	02_withDiff
       1.236	          32	         CPz	           1	02_withDiff
      -0.105	          38	          Fz	           1	02_withDiff
      -0.878	          39	          F2	           1	02_withDiff
       0.315	          46	         FC2	           1	02_withDiff
       1.069	          47	         FCz	           1	02_withDiff
       1.948	          48	          Cz	           1	02_withDiff
      -0.091	          49	          C2	           1	02_withDiff
      -1.130	          56	         CP2	           1	02_withDiff
      -2.293	           4	          F1	           2	02_withDiff
      -1.601	          11	         FC1	           2	02_withDiff
      -0.920	          12	          C1	           2	02_withDiff
      -1.011	          19	         CP1	           2	02_withDiff
      -0.231	          32	         CPz	           2	02_withDiff
      -0.972	          38	          Fz	           2	02_withDiff
      -1.268	          39	          F2	           2	02_withDiff
      -1.073	          46	         FC2	           2	02_withDiff
       0.926	          47	         FCz	           2	02_withDiff
      -0.596	          48	          Cz	           2	02_withDiff
      -1.341	          49	          C2	           2	02_withDiff
      -2.124	          56	         CP2	           2	02_withDiff
      -5.417	           4	          F1	           3	02_withDiff
      -4.107	          11	         FC1	           3	02_withDiff
      -2.952	          12	          C1	           3	02_withDiff
      -2.570	          19	         CP1	           3	02_withDiff
      -1.008	          32	         CPz	           3	02_withDiff
      -4.920	          38	          Fz	           3	02_withDiff
      -5.117	          39	          F2	           3	02_withDiff
      -3.824	          46	         FC2	           3	02_withDiff
      -3.693	          47	         FCz	           3	02_withDiff
      -1.573	          48	          Cz	           3	02_withDiff
      -2.313	          49	          C2	           3	02_withDiff
      -2.106	          56	         CP2	           3	02_withDiff
      -1.494	           4	          F1	           4	02_withDiff
      -1.759	          11	         FC1	           4	02_withDiff
      -0.088	          12	          C1	           4	02_withDiff
       0.431	          19	         CP1	           4	02_withDiff
       0.622	          32	         CPz	           4	02_withDiff
      -1.498	          38	          Fz	           4	02_withDiff
      -1.415	          39	          F2	           4	02_withDiff
      -0.412	          46	         FC2	           4	02_withDiff
       0.662	          47	         FCz	           4	02_withDiff
       0.203	          48	          Cz	           4	02_withDiff
      -0.306	          49	          C2	           4	02_withDiff
       1.084	          56	         CP2	           4	02_withDiff
       2.094	           4	          F1	           5	02_withDiff
       0.872	          11	         FC1	           5	02_withDiff
       1.123	          12	          C1	           5	02_withDiff
       0.997	          19	         CP1	           5	02_withDiff
       1.274	          32	         CPz	           5	02_withDiff
       2.152	          38	          Fz	           5	02_withDiff
       2.124	          39	          F2	           5	02_withDiff
       1.976	          46	         FC2	           5	02_withDiff
       2.117	          47	         FCz	           5	02_withDiff
       1.771	          48	          Cz	           5	02_withDiff
       1.754	          49	          C2	           5	02_withDiff
       1.688	          56	         CP2	           5	02_withDiff
      -0.703	           4	          F1	           1	05_withDiff
       0.332	          11	         FC1	           1	05_withDiff
       0.945	          12	          C1	           1	05_withDiff
       0.230	          19	         CP1	           1	05_withDiff
       1.385	          32	         CPz	           1	05_withDiff
      -0.712	          38	          Fz	           1	05_withDiff
      -0.778	          39	          F2	           1	05_withDiff
      -0.128	          46	         FC2	           1	05_withDiff
       1.181	          47	         FCz	           1	05_withDiff
       2.527	          48	          Cz	           1	05_withDiff
       1.164	          49	          C2	           1	05_withDiff
       1.067	          56	         CP2	           1	05_withDiff
      -3.268	           4	          F1	           2	05_withDiff
      -1.290	          11	         FC1	           2	05_withDiff
      -1.456	          12	          C1	           2	05_withDiff
      -1.001	          19	         CP1	           2	05_withDiff
      -1.285	          32	         CPz	           2	05_withDiff
      -3.816	          38	          Fz	           2	05_withDiff
      -5.638	          39	          F2	           2	05_withDiff
      -3.565	          46	         FC2	           2	05_withDiff
      -2.048	          47	         FCz	           2	05_withDiff
      -1.425	          48	          Cz	           2	05_withDiff
      -2.495	          49	          C2	           2	05_withDiff
      -2.441	          56	         CP2	           2	05_withDiff
       0.003	           4	          F1	           3	05_withDiff
      -0.957	          11	         FC1	           3	05_withDiff
      -0.814	          12	          C1	           3	05_withDiff
      -0.043	          19	         CP1	           3	05_withDiff
       0.442	          32	         CPz	           3	05_withDiff
       0.803	          38	          Fz	           3	05_withDiff
       1.874	          39	          F2	           3	05_withDiff
       1.571	          46	         FC2	           3	05_withDiff
       0.655	          47	         FCz	           3	05_withDiff
       0.151	          48	          Cz	           3	05_withDiff
       1.447	          49	          C2	           3	05_withDiff
       1.993	          56	         CP2	           3	05_withDiff
      -1.824	           4	          F1	           4	05_withDiff
      -1.563	          11	         FC1	           4	05_withDiff
      -1.116	          12	          C1	           4	05_withDiff
      -0.212	          19	         CP1	           4	05_withDiff
      -0.432	          32	         CPz	           4	05_withDiff
      -2.733	          38	          Fz	           4	05_withDiff
      -2.548	          39	          F2	           4	05_withDiff
      -1.986	          46	         FC2	           4	05_withDiff
      -1.845	          47	         FCz	           4	05_withDiff
      -1.326	          48	          Cz	           4	05_withDiff
      -1.372	          49	          C2	           4	05_withDiff
      -0.681	          56	         CP2	           4	05_withDiff
       0.097	           4	          F1	           5	05_withDiff
       0.531	          11	         FC1	           5	05_withDiff
       0.371	          12	          C1	           5	05_withDiff
       0.026	          19	         CP1	           5	05_withDiff
       0.288	          32	         CPz	           5	05_withDiff
      -0.971	          38	          Fz	           5	05_withDiff
      -1.156	          39	          F2	           5	05_withDiff
       0.072	          46	         FC2	           5	05_withDiff
       0.875	          47	         FCz	           5	05_withDiff
       1.077	          48	          Cz	           5	05_withDiff
       0.561	          49	          C2	           5	05_withDiff
      -0.096	          56	         CP2	           5	05_withDiff
      -1.924	           4	          F1	           1	06_withDiff
      -1.049	          11	         FC1	           1	06_withDiff
      -0.074	          12	          C1	           1	06_withDiff
      -0.676	          19	         CP1	           1	06_withDiff
       1.601	          32	         CPz	           1	06_withDiff
      -1.740	          38	          Fz	           1	06_withDiff
      -1.636	          39	          F2	           1	06_withDiff
      -1.128	          46	         FC2	           1	06_withDiff
      -1.329	          47	         FCz	           1	06_withDiff
      -2.167	          48	          Cz	           1	06_withDiff
      -3.203	          49	          C2	           1	06_withDiff
       0.410	          56	         CP2	           1	06_withDiff
      -4.521	           4	          F1	           2	06_withDiff
      -2.512	          11	         FC1	           2	06_withDiff
      -2.272	          12	          C1	           2	06_withDiff
      -1.837	          19	         CP1	           2	06_withDiff
       0.027	          32	         CPz	           2	06_withDiff
      -4.014	          38	          Fz	           2	06_withDiff
      -3.547	          39	          F2	           2	06_withDiff
      -1.783	          46	         FC2	           2	06_withDiff
      -2.403	          47	         FCz	           2	06_withDiff
      -1.668	          48	          Cz	           2	06_withDiff
      -1.378	          49	          C2	           2	06_withDiff
       0.903	          56	         CP2	           2	06_withDiff
      -2.113	           4	          F1	           3	06_withDiff
      -2.130	          11	         FC1	           3	06_withDiff
      -1.410	          12	          C1	           3	06_withDiff
      -0.167	          19	         CP1	           3	06_withDiff
       0.277	          32	         CPz	           3	06_withDiff
      -1.764	          38	          Fz	           3	06_withDiff
      -2.662	          39	          F2	           3	06_withDiff
      -2.643	          46	         FC2	           3	06_withDiff
      -1.006	          47	         FCz	           3	06_withDiff
      -0.291	          48	          Cz	           3	06_withDiff
      -0.522	          49	          C2	           3	06_withDiff
       1.171	          56	         CP2	           3	06_withDiff
      -4.000	           4	          F1	           4	06_withDiff
      -3.796	          11	         FC1	           4	06_withDiff
      -1.202	          12	          C1	           4	06_withDiff
      -2.330	          19	         CP1	           4	06_withDiff
      -1.347	          32	         CPz	           4	06_withDiff
      -4.354	          38	          Fz	           4	06_withDiff
      -2.912	          39	          F2	           4	06_withDiff
      -4.041	          46	         FC2	           4	06_withDiff
      -2.815	          47	         FCz	           4	06_withDiff
      -2.713	          48	          Cz	           4	06_withDiff
      -3.036	          49	          C2	           4	06_withDiff
      -1.534	          56	         CP2	           4	06_withDiff
      -0.870	           4	          F1	           5	06_withDiff
      -0.428	          11	         FC1	           5	06_withDiff
      -0.911	          12	          C1	           5	06_withDiff
      -0.216	          19	         CP1	           5	06_withDiff
      -0.575	          32	         CPz	           5	06_withDiff
      -0.316	          38	          Fz	           5	06_withDiff
      -0.527	          39	          F2	           5	06_withDiff
      -0.626	          46	         FC2	           5	06_withDiff
       0.057	          47	         FCz	           5	06_withDiff
       0.790	          48	          Cz	           5	06_withDiff
       0.545	          49	          C2	           5	06_withDiff
       0.790	          56	         CP2	           5	06_withDiff
      -2.639	           4	          F1	           1	08_withDiff
      -1.530	          11	         FC1	           1	08_withDiff
      -1.239	          12	          C1	           1	08_withDiff
      -0.932	          19	         CP1	           1	08_withDiff
      -1.823	          32	         CPz	           1	08_withDiff
      -2.505	          38	          Fz	           1	08_withDiff
      -1.749	          39	          F2	           1	08_withDiff
      -0.573	          46	         FC2	           1	08_withDiff
      -1.321	          47	         FCz	           1	08_withDiff
      -1.539	          48	          Cz	           1	08_withDiff
      -0.395	          49	          C2	           1	08_withDiff
      -1.362	          56	         CP2	           1	08_withDiff
      -3.033	           4	          F1	           2	08_withDiff
      -1.407	          11	         FC1	           2	08_withDiff
      -2.325	          12	          C1	           2	08_withDiff
      -1.498	          19	         CP1	           2	08_withDiff
      -0.545	          32	         CPz	           2	08_withDiff
      -0.415	          38	          Fz	           2	08_withDiff
      -0.959	          39	          F2	           2	08_withDiff
      -1.637	          46	         FC2	           2	08_withDiff
      -1.219	          47	         FCz	           2	08_withDiff
      -2.376	          48	          Cz	           2	08_withDiff
      -1.535	          49	          C2	           2	08_withDiff
      -0.375	          56	         CP2	           2	08_withDiff
      -4.275	           4	          F1	           3	08_withDiff
      -3.270	          11	         FC1	           3	08_withDiff
      -2.591	          12	          C1	           3	08_withDiff
      -0.996	          19	         CP1	           3	08_withDiff
      -1.194	          32	         CPz	           3	08_withDiff
      -3.034	          38	          Fz	           3	08_withDiff
      -2.887	          39	          F2	           3	08_withDiff
      -2.857	          46	         FC2	           3	08_withDiff
      -3.786	          47	         FCz	           3	08_withDiff
      -1.463	          48	          Cz	           3	08_withDiff
      -1.585	          49	          C2	           3	08_withDiff
      -0.609	          56	         CP2	           3	08_withDiff
      -7.320	           4	          F1	           4	08_withDiff
      -5.082	          11	         FC1	           4	08_withDiff
      -3.303	          12	          C1	           4	08_withDiff
      -2.037	          19	         CP1	           4	08_withDiff
      -0.245	          32	         CPz	           4	08_withDiff
      -7.013	          38	          Fz	           4	08_withDiff
