       value	     chindex	     chlabel	        bini	     ERPset
      -1.288	          12	          C1	           5	16_withDiff
      -0.827	          19	         CP1	           5	16_withDiff
       0.574	          32	         CPz	           5	16_withDiff
      -0.656	          38	          Fz	           5	16_withDiff
       0.399	          39	          F2	           5	16_withDiff
       0.388	          46	         FC2	           5	16_withDiff
       0.476	          47	         FCz	           5	16_withDiff
       0.284	          48	          Cz	           5	16_withDiff
       0.533	          49	          C2	           5	16_withDiff
       0.830	          56	         CP2	           5	16_withDiff
      -0.131	           4	          F1	           1	17_withDiff
      -0.964	          11	         FC1	           1	17_withDiff
      -0.113	          12	          C1	           1	17_withDiff
      -0.010	          19	         CP1	           1	17_withDiff
      -0.399	          32	         CPz	           1	17_withDiff
      -2.240	          38	          Fz	           1	17_withDiff
      -2.359	          39	          F2	           1	17_withDiff
      -2.308	          46	         FC2	           1	17_withDiff
      -3.023	          47	         FCz	           1	17_withDiff
      -1.133	          48	          Cz	           1	17_withDiff
      -1.472	          49	          C2	           1	17_withDiff
      -0.187	          56	         CP2	           1	17_withDiff
       0.563	           4	          F1	           2	17_withDiff
       0.905	          11	         FC1	           2	17_withDiff
       0.252	          12	          C1	           2	17_withDiff
      -0.015	          19	         CP1	           2	17_withDiff
      -0.526	          32	         CPz	           2	17_withDiff
      -0.044	          38	          Fz	           2	17_withDiff
      -0.314	          39	          F2	           2	17_withDiff
      -0.245	          46	         FC2	           2	17_withDiff
       0.125	          47	         FCz	           2	17_withDiff
       0.480	          48	          Cz	           2	17_withDiff
      -0.051	          49	          C2	           2	17_withDiff
      -0.800	          56	         CP2	           2	17_withDiff
      -4.319	           4	          F1	           3	17_withDiff
      -3.841	          11	         FC1	           3	17_withDiff
      -3.062	          12	          C1	           3	17_withDiff
      -1.730	          19	         CP1	           3	17_withDiff
      -2.043	          32	         CPz	           3	17_withDiff
      -4.091	          38	          Fz	           3	17_withDiff
      -3.715	          39	          F2	           3	17_withDiff
      -4.076	          46	         FC2	           3	17_withDiff
      -4.643	          47	         FCz	           3	17_withDiff
      -2.376	          48	          Cz	           3	17_withDiff
      -3.207	          49	          C2	           3	17_withDiff
      -3.116	          56	         CP2	           3	17_withDiff
      -1.322	           4	          F1	           4	17_withDiff
      -1.170	          11	         FC1	           4	17_withDiff
      -1.770	          12	          C1	           4	17_withDiff
      -2.510	          19	         CP1	           4	17_withDiff
      -1.774	          32	         CPz	           4	17_withDiff
      -0.693	          38	          Fz	           4	17_withDiff
      -1.066	          39	          F2	           4	17_withDiff
      -1.879	          46	         FC2	           4	17_withDiff
      -1.980	          47	         FCz	           4	17_withDiff
      -1.225	          48	          Cz	           4	17_withDiff
      -1.261	          49	          C2	           4	17_withDiff
      -0.985	          56	         CP2	           4	17_withDiff
      -1.377	           4	          F1	           5	17_withDiff
      -2.453	          11	         FC1	           5	17_withDiff
      -1.540	          12	          C1	           5	17_withDiff
      -1.644	          19	         CP1	           5	17_withDiff
      -1.009	          32	         CPz	           5	17_withDiff
      -1.309	          38	          Fz	           5	17_withDiff
      -1.152	          39	          F2	           5	17_withDiff
      -1.569	          46	         FC2	           5	17_withDiff
      -1.445	          47	         FCz	           5	17_withDiff
      -2.041	          48	          Cz	           5	17_withDiff
      -1.481	          49	          C2	           5	17_withDiff
      -1.848	          56	         CP2	           5	17_withDiff
      -2.268	           4	          F1	           1	18_withDiff
      -1.602	          11	         FC1	           1	18_withDiff
      -1.371	          12	          C1	           1	18_withDiff
      -1.931	          19	         CP1	           1	18_withDiff
       0.239	          32	         CPz	           1	18_withDiff
      -1.918	          38	          Fz	           1	18_withDiff
      -1.403	          39	          F2	           1	18_withDiff
      -1.791	          46	         FC2	           1	18_withDiff
      -0.866	          47	         FCz	           1	18_withDiff
      -1.293	          48	          Cz	           1	18_withDiff
      -0.287	          49	          C2	           1	18_withDiff
       1.025	          56	         CP2	           1	18_withDiff
      -0.866	           4	          F1	           2	18_withDiff
      -0.802	          11	         FC1	           2	18_withDiff
       0.056	          12	          C1	           2	18_withDiff
       0.504	          19	         CP1	           2	18_withDiff
       0.554	          32	         CPz	           2	18_withDiff
      -0.061	          38	          Fz	           2	18_withDiff
       0.800	          39	          F2	           2	18_withDiff
      -0.244	          46	         FC2	           2	18_withDiff
      -0.079	          47	         FCz	           2	18_withDiff
       0.377	          48	          Cz	           2	18_withDiff
       0.362	          49	          C2	           2	18_withDiff
       1.112	          56	         CP2	           2	18_withDiff
       2.000	           4	          F1	           3	18_withDiff
       1.437	          11	         FC1	           3	18_withDiff
       1.671	          12	          C1	           3	18_withDiff
       1.338	          19	         CP1	           3	18_withDiff
      -1.781	          32	         CPz	           3	18_withDiff
       3.533	          38	          Fz	           3	18_withDiff
       4.492	          39	          F2	           3	18_withDiff
       3.162	          46	         FC2	           3	18_withDiff
       3.191	          47	         FCz	           3	18_withDiff
       2.586	          48	          Cz	           3	18_withDiff
       2.856	          49	          C2	           3	18_withDiff
       3.124	          56	         CP2	           3	18_withDiff
      -2.877	           4	          F1	           4	18_withDiff
      -2.057	          11	         FC1	           4	18_withDiff
      -1.080	          12	          C1	           4	18_withDiff
      -0.894	          19	         CP1	           4	18_withDiff
      -0.115	          32	         CPz	           4	18_withDiff
      -1.472	          38	          Fz	           4	18_withDiff
      -1.476	          39	          F2	           4	18_withDiff
      -1.972	          46	         FC2	           4	18_withDiff
      -2.438	          47	         FCz	           4	18_withDiff
      -1.538	          48	          Cz	           4	18_withDiff
      -0.309	          49	          C2	           4	18_withDiff
       0.458	          56	         CP2	           4	18_withDiff
      -0.305	           4	          F1	           5	18_withDiff
       0.340	          11	         FC1	           5	18_withDiff
       0.202	          12	          C1	           5	18_withDiff
       1.021	          19	         CP1	           5	18_withDiff
       0.790	          32	         CPz	           5	18_withDiff
      -0.017	          38	          Fz	           5	18_withDiff
       0.460	          39	          F2	           5	18_withDiff
       0.806	          46	         FC2	           5	18_withDiff
       0.904	          47	         FCz	           5	18_withDiff
       1.242	          48	          Cz	           5	18_withDiff
       0.885	          49	          C2	           5	18_withDiff
       1.069	          56	         CP2	           5	18_withDiff
      -0.540	           4	          F1	           1	21_withDiff
      -0.506	          11	         FC1	           1	21_withDiff
       1.379	          12	          C1	           1	21_withDiff
       0.742	          19	         CP1	           1	21_withDiff
       1.165	          32	         CPz	           1	21_withDiff
      -0.460	          38	          Fz	           1	21_withDiff
      -0.649	          39	          F2	           1	21_withDiff
       0.384	          46	         FC2	           1	21_withDiff
       0.947	          47	         FCz	           1	21_withDiff
       1.371	          48	          Cz	           1	21_withDiff
       0.729	          49	          C2	           1	21_withDiff
       0.157	          56	         CP2	           1	21_withDiff
      -1.452	           4	          F1	           2	21_withDiff
      -2.077	          11	         FC1	           2	21_withDiff
      -1.172	          12	          C1	           2	21_withDiff
      -1.194	          19	         CP1	           2	21_withDiff
       0.527	          32	         CPz	           2	21_withDiff
      -1.288	          38	          Fz	           2	21_withDiff
      -0.849	          39	          F2	           2	21_withDiff
      -0.189	          46	         FC2	           2	21_withDiff
      -1.045	          47	         FCz	           2	21_withDiff
       0.351	          48	          Cz	           2	21_withDiff
       1.149	          49	          C2	           2	21_withDiff
       1.412	          56	         CP2	           2	21_withDiff
      -1.582	           4	          F1	           3	21_withDiff
      -1.383	          11	         FC1	           3	21_withDiff
      -1.813	          12	          C1	           3	21_withDiff
      -0.373	          19	         CP1	           3	21_withDiff
      -0.174	          32	         CPz	           3	21_withDiff
      -1.206	          38	          Fz	           3	21_withDiff
      -1.216	          39	          F2	           3	21_withDiff
      -1.073	          46	         FC2	           3	21_withDiff
      -1.047	          47	         FCz	           3	21_withDiff
      -0.787	          48	          Cz	           3	21_withDiff
      -0.832	          49	          C2	           3	21_withDiff
      -1.010	          56	         CP2	           3	21_withDiff
       1.017	           4	          F1	           4	21_withDiff
       0.362	          11	         FC1	           4	21_withDiff
      -0.158	          12	          C1	           4	21_withDiff
      -0.363	          19	         CP1	           4	21_withDiff
      -0.159	          32	         CPz	           4	21_withDiff
       0.392	          38	          Fz	           4	21_withDiff
       0.228	          39	          F2	           4	21_withDiff
       0.067	          46	         FC2	           4	21_withDiff
       0.074	          47	         FCz	           4	21_withDiff
       0.251	          48	          Cz	           4	21_withDiff
      -0.015	          49	          C2	           4	21_withDiff
      -0.149	          56	         CP2	           4	21_withDiff
      -1.441	           4	          F1	           5	21_withDiff
      -1.607	          11	         FC1	           5	21_withDiff
      -0.299	          12	          C1	           5	21_withDiff
       0.210	          19	         CP1	           5	21_withDiff
      -0.108	          32	         CPz	           5	21_withDiff
      -1.772	          38	          Fz	           5	21_withDiff
      -1.416	          39	          F2	           5	21_withDiff
      -1.518	          46	         FC2	           5	21_withDiff
      -1.339	          47	         FCz	           5	21_withDiff
       0.115	          48	          Cz	           5	21_withDiff
      -0.459	          49	          C2	           5	21_withDiff
       0.230	          56	         CP2	           5	21_withDiff
      -2.241	           4	          F1	           1	22_withDiff
      -2.032	          11	         FC1	           1	22_withDiff
      -1.331	          12	          C1	           1	22_withDiff
      -0.718	          19	         CP1	           1	22_withDiff
      -1.243	          32	         CPz	           1	22_withDiff
      -1.270	          38	          Fz	           1	22_withDiff
      -2.302	          39	          F2	           1	22_withDiff
      -2.537	          46	         FC2	           1	22_withDiff
      -2.028	          47	         FCz	           1	22_withDiff
      -1.275	          48	          Cz	           1	22_withDiff
      -1.864	          49	          C2	           1	22_withDiff
      -1.962	          56	         CP2	           1	22_withDiff
      -3.884	           4	          F1	           2	22_withDiff
      -3.227	          11	         FC1	           2	22_withDiff
      -2.409	          12	          C1	           2	22_withDiff
      -1.433	          19	         CP1	           2	22_withDiff
      -0.756	          32	         CPz	           2	22_withDiff
      -3.546	          38	          Fz	           2	22_withDiff
      -4.056	          39	          F2	           2	22_withDiff
      -3.880	          46	         FC2	           2	22_withDiff
      -2.695	          47	         FCz	           2	22_withDiff
      -2.175	          48	          Cz	           2	22_withDiff
      -2.735	          49	          C2	           2	22_withDiff
      -1.803	          56	         CP2	           2	22_withDiff
      -1.183	           4	          F1	           3	22_withDiff
      -1.374	          11	         FC1	           3	22_withDiff
      -0.917	          12	          C1	           3	22_withDiff
      -2.073	          19	         CP1	           3	22_withDiff
       0.619	          32	         CPz	           3	22_withDiff
      -0.629	          38	          Fz	           3	22_withDiff
      -0.614	          39	          F2	           3	22_withDiff
      -0.534	          46	         FC2	           3	22_withDiff
       0.263	          47	         FCz	           3	22_withDiff
      -0.509	          48	          Cz	           3	22_withDiff
       1.275	          49	          C2	           3	22_withDiff
       1.429	          56	         CP2	           3	22_withDiff
      -2.573	           4	          F1	           4	22_withDiff
      -1.541	          11	         FC1	           4	22_withDiff
      -1.235	          12	          C1	           4	22_withDiff
      -1.086	          19	         CP1	           4	22_withDiff
      -0.038	          32	         CPz	           4	22_withDiff
      -1.103	          38	          Fz	           4	22_withDiff
      -1.060	          39	          F2	           4	22_withDiff
      -1.093	          46	         FC2	           4	22_withDiff
      -0.946	          47	         FCz	           4	22_withDiff
      -0.027	          48	          Cz	           4	22_withDiff
      -0.319	          49	          C2	           4	22_withDiff
       0.717	          56	         CP2	           4	22_withDiff
      -2.300	           4	          F1	           5	22_withDiff
      -2.147	          11	         FC1	           5	22_withDiff
      -2.010	          12	          C1	           5	22_withDiff
      -0.877	          19	         CP1	           5	22_withDiff
      -0.691	          32	         CPz	           5	22_withDiff
      -2.697	          38	          Fz	           5	22_withDiff
      -3.057	          39	          F2	           5	22_withDiff
      -2.735	          46	         FC2	           5	22_withDiff
      -2.440	          47	         FCz	           5	22_withDiff
      -1.507	          48	          Cz	           5	22_withDiff
      -1.637	          49	          C2	           5	22_withDiff
      -1.145	          56	         CP2	           5	22_withDiff
      -1.021	           4	          F1	           1	24_withDiff
       1.427	          11	         FC1	           1	24_withDiff
       0.123	          12	          C1	           1	24_withDiff
       0.525	          19	         CP1	           1	24_withDiff
       1.293	          32	         CPz	           1	24_withDiff
      -0.279	          38	          Fz	           1	24_withDiff
       0.396	          39	          F2	           1	24_withDiff
       1.900	          46	         FC2	           1	24_withDiff
       1.583	          47	         FCz	           1	24_withDiff
       2.622	          48	          Cz	           1	24_withDiff
       0.199	          49	          C2	           1	24_withDiff
       1.044	          56	         CP2	           1	24_withDiff
      -1.019	           4	          F1	           2	24_withDiff
      -1.050	          11	         FC1	           2	24_withDiff
       1.271	          12	          C1	           2	24_withDiff
       0.529	          19	         CP1	           2	24_withDiff
       1.599	          32	         CPz	           2	24_withDiff
      -0.570	          38	          Fz	           2	24_withDiff
      -0.284	          39	          F2	           2	24_withDiff
      -0.049	          46	         FC2	           2	24_withDiff
       0.302	          47	         FCz	           2	24_withDiff
       1.503	          48	          Cz	           2	24_withDiff
       0.253	          49	          C2	           2	24_withDiff
       1.139	          56	         CP2	           2	24_withDiff
       2.747	           4	          F1	           3	24_withDiff
       3.401	          11	         FC1	           3	24_withDiff
       2.526	          12	          C1	           3	24_withDiff
       2.593	          19	         CP1	           3	24_withDiff
       1.984	          32	         CPz	           3	24_withDiff
       2.210	          38	          Fz	           3	24_withDiff
       3.141	          39	          F2	           3	24_withDiff
       2.216	          46	         FC2	           3	24_withDiff
       3.343	          47	         FCz	           3	24_withDiff
       3.996	          48	          Cz	           3	24_withDiff
       2.355	          49	          C2	           3	24_withDiff
       2.139	          56	         CP2	           3	24_withDiff
      -1.328	           4	          F1	           4	24_withDiff
      -2.092	          11	         FC1	           4	24_withDiff
      -2.206	          12	          C1	           4	24_withDiff
      -2.037	          19	         CP1	           4	24_withDiff
      -1.129	          32	         CPz	           4	24_withDiff
      -2.815	          38	          Fz	           4	24_withDiff
      -3.515	          39	          F2	           4	24_withDiff
      -3.066	          46	         FC2	           4	24_withDiff
      -3.035	          47	         FCz	           4	24_withDiff
      -2.150	          48	          Cz	           4	24_withDiff
      -2.884	          49	          C2	           4	24_withDiff
      -2.604	          56	         CP2	           4	24_withDiff
      -2.528	           4	          F1	           5	24_withDiff
      -0.809	          11	         FC1	           5	24_withDiff
      -0.222	          12	          C1	           5	24_withDiff
      -0.567	          19	         CP1	           5	24_withDiff
      -0.350	          32	         CPz	           5	24_withDiff
      -1.163	          38	          Fz	           5	24_withDiff
      -1.260	          39	          F2	           5	24_withDiff
      -1.523	          46	         FC2	           5	24_withDiff
      -1.185	          47	         FCz	           5	24_withDiff
       0.038	          48	          Cz	           5	24_withDiff
      -1.233	          49	          C2	           5	24_withDiff
      -0.279	          56	         CP2	           5	24_withDiff
