congruent,dirCode,direction,trigCode,trialIndex,part
1,1,right,11,1,practice
1,0,left,10,2,practice
1,1,right,11,3,practice
2,1,right,21,4,practice
1,0,left,10,5,practice
2,0,left,20,6,practice
2,1,right,21,7,practice
2,0,left,20,9,practice
